first_name,last_name,death_year,bio_url,nationality,art_movement,author_id,bio_info,birth_year
Osman Hamdi,Bey,1910,http://www.the-athenaeum.org/people/detail.php?ID=1396,Turkish,,1396,,1842
John Brown,Abercromby,1929,http://www.the-athenaeum.org/people/detail.php?ID=7629,English,,7629,,1843
Charles Howard,Hodges,1837,http://www.the-athenaeum.org/people/detail.php?ID=8864,United Kingdom,,8864,,1764
Belmore,Browne,1854,http://www.the-athenaeum.org/people/detail.php?ID=7624,American,,7624,,1880
Arcadio,Mas y fondevila,1934,http://www.the-athenaeum.org/people/detail.php?ID=10649,Spanish,,10649,,1852
Georg,Kaulbach,1945,http://www.the-athenaeum.org/people/detail.php?ID=6279,German,,6279,,1866
Juana,Romani,1924,http://www.the-athenaeum.org/people/detail.php?ID=2699,Italian,,2699,,1869
Frank Hector,Tompkins,1922,http://www.the-athenaeum.org/people/detail.php?ID=717,American,,717,,1847
Charles,Storer,1907,http://www.the-athenaeum.org/people/detail.php?ID=9865,American,,9865,,1817
Jan van,Os,1808,http://www.the-athenaeum.org/people/detail.php?ID=498,Dutch,,498,,1744
Arthur,Netherwood,1930,http://www.the-athenaeum.org/people/detail.php?ID=10756,English,,10756,,1864
Charles Albert,Pesnelle,1928,http://www.the-athenaeum.org/people/detail.php?ID=2676,French,,2676,,1849
Enrique,Miralles darmanin,1900,http://www.the-athenaeum.org/people/detail.php?ID=11132,Spanish,,11132,,1855
Master,Honoré,1318,http://www.the-athenaeum.org/people/detail.php?ID=6782,French,,6782,,1260
Juan Vicente,Masip,1550,http://www.the-athenaeum.org/people/detail.php?ID=7618,Spanish,Renaissance,7618,,1475
Jan,Hals,1654,http://www.the-athenaeum.org/people/detail.php?ID=6016,Dutch,Dutch Golden Age,6016,,1620
Alexander,Warshawsky,1945,http://www.the-athenaeum.org/people/detail.php?ID=5721,American,,5721,,1887
Giuseppe,Cadenasso,1918,http://www.the-athenaeum.org/people/detail.php?ID=9304,Italian,,9304,,1858
Walther,Firle,1929,http://www.the-athenaeum.org/people/detail.php?ID=2693,German,,2693,,1859
Rudolph,Swoboda,1859,http://www.the-athenaeum.org/people/detail.php?ID=2634,Austrian,,2634,,1819
Tivadar,Zemplényi,1917,http://www.the-athenaeum.org/people/detail.php?ID=6774,Hungarian,,6774,,1864
John Callcott,Horsley,1903,http://www.the-athenaeum.org/people/detail.php?ID=236,English,,236,,1817
Alexander,Glasgow,1894,http://www.the-athenaeum.org/people/detail.php?ID=11632,United Kingdom,,11632,,1840
Peter Paul,Muller,1930,http://www.the-athenaeum.org/people/detail.php?ID=9286,German,,9286,,1853
Francesco,Zanin,1850,http://www.the-athenaeum.org/people/detail.php?ID=2617,Italian,,2617,,1780
Cesar,Pattein,1914,http://www.the-athenaeum.org/people/detail.php?ID=1364,French,,1364,,1882
Marie,Nyl-frosch,1914,http://www.the-athenaeum.org/people/detail.php?ID=6260,German,,6260,,1857
Wesley Elbridge,Webber,1914,http://www.the-athenaeum.org/people/detail.php?ID=9290,American,,9290,,1841
Anton,Seitz,1900,http://www.the-athenaeum.org/people/detail.php?ID=2609,German,,2609,,1829
Agnolo degli,Erri,1482,http://www.the-athenaeum.org/people/detail.php?ID=7590,Italian,,7590,,1440
Georges,Stein,1930,http://www.the-athenaeum.org/people/detail.php?ID=2570,French,,2570,,1855
Andrei,Belloli,1881,http://www.the-athenaeum.org/people/detail.php?ID=8893,Russian,,8893,,1820
Christoffel Jacobsz. van der,Lamen,1651,http://www.the-athenaeum.org/people/detail.php?ID=2571,Belgian,Baroque,2571,,1606
Pedro (Pierre),Ribera,1932,http://www.the-athenaeum.org/people/detail.php?ID=2589,Spanish,,2589,,1867
Arnold Marc,Gorter,1933,http://www.the-athenaeum.org/people/detail.php?ID=2564,Dutch,,2564,,1866
William,Weekes,1909,http://www.the-athenaeum.org/people/detail.php?ID=4120,English,,4120,,1856
Parrasio,Micheli,1578,http://www.the-athenaeum.org/people/detail.php?ID=11127,Italian,,11127,,1516
Johannes Christiaan,Schotel,1838,http://www.the-athenaeum.org/people/detail.php?ID=8803,Dutch,,8803,,1878
Francois Fleury,Richard,1852,http://www.the-athenaeum.org/people/detail.php?ID=5704,French,Romantic,5704,,1777
Ellen Axson,Wilson,1914,http://www.the-athenaeum.org/people/detail.php?ID=5954,American,,5954,,1860
George M.,Ottinger,1917,http://www.the-athenaeum.org/people/detail.php?ID=696,American,,696,,1833
Hannah Brown,Skeele,1901,http://www.the-athenaeum.org/people/detail.php?ID=3913,American,,3913,,1829
Martin,Borgord,1935,http://www.the-athenaeum.org/people/detail.php?ID=10328,Norwegian,,10328,,1869
Hendrik Johannes,Haverman,1928,http://www.the-athenaeum.org/people/detail.php?ID=9651,Dutch,,9651,,1857
Ludwig,Lanckow,1892,http://www.the-athenaeum.org/people/detail.php?ID=5951,German,,5951,,1875
Juho,Makela,1943,http://www.the-athenaeum.org/people/detail.php?ID=7538,Finnish,,7538,,1885
Henry,Bouvete,1945,http://www.the-athenaeum.org/people/detail.php?ID=2537,French,,2537,,1859
Matthew,Pratt,1805,http://www.the-athenaeum.org/people/detail.php?ID=1019,American,,1019,,1734
Felice,Cerutti bauduc,1896,http://www.the-athenaeum.org/people/detail.php?ID=10238,Italian,,10238,,1818
Paul,Thumann,1908,http://www.the-athenaeum.org/people/detail.php?ID=6747,German,,6747,,1834
Christiaan Cornelis,Kannemans,1884,http://www.the-athenaeum.org/people/detail.php?ID=2518,Dutch,,2518,,1812
Jens Adolf,Jerichau,1916,http://www.the-athenaeum.org/people/detail.php?ID=7533,Danish,,7533,,1890
Margaretha,Roosenboom,1896,http://www.the-athenaeum.org/people/detail.php?ID=9623,Dutch,,9623,,1843
Leopold,Zinnogger,1872,http://www.the-athenaeum.org/people/detail.php?ID=229,Austrian,,229,,1811
William S.,Parrott,1915,http://www.the-athenaeum.org/people/detail.php?ID=3944,American,,3944,,1844
Adriaan de,Lelie,1820,http://www.the-athenaeum.org/people/detail.php?ID=5540,Dutch,,5540,,1755
Bernardino,Lanino,1583,http://www.the-athenaeum.org/people/detail.php?ID=9616,Italian,,9616,,1512
John William,Hennessey,1875,http://www.the-athenaeum.org/people/detail.php?ID=1328,American,,1328,,1839
Alexandre-René,Veron,1897,http://www.the-athenaeum.org/people/detail.php?ID=2491,French,,2491,,1826
,Andrea da firenze,1379,http://www.the-athenaeum.org/people/detail.php?ID=10430,Italian,,10430,,1320
,Bramante,1514,http://www.the-athenaeum.org/people/detail.php?ID=5950,Italian,Renaissance,5950,,1444
Anna,Nordlander,1879,http://www.the-athenaeum.org/people/detail.php?ID=10750,Swedish,,10750,,1843
Henrik,Nordenberg,1928,http://www.the-athenaeum.org/people/detail.php?ID=5392,Swedish,,5392,,1857
Axel,Johansen,1938,http://www.the-athenaeum.org/people/detail.php?ID=1322,Danish,,1322,,1872
Leon,Maurits,1865,http://www.the-athenaeum.org/people/detail.php?ID=11118,Dutch,,11118,,1838
Max,Volkhart,1924,http://www.the-athenaeum.org/people/detail.php?ID=2461,German,,2461,,1848
Will,Vawter,1941,http://www.the-athenaeum.org/people/detail.php?ID=9834,American,,9834,,1871
John Mackie,Falconer,1903,http://www.the-athenaeum.org/people/detail.php?ID=3443,American,,3443,,1820
Jose Maria,Fenollera,1918,http://www.the-athenaeum.org/people/detail.php?ID=10925,Spanish,,10925,,1851
Max,Carlier,1928,http://www.the-athenaeum.org/people/detail.php?ID=2455,Belgian,,2455,,1872
Charles,Volkmar,1914,http://www.the-athenaeum.org/people/detail.php?ID=1308,American,,1308,,1841
Edmond-Louis,Dupain,1870,http://www.the-athenaeum.org/people/detail.php?ID=2449,French,,2449,,1847
Antoine,Dury,1881,http://www.the-athenaeum.org/people/detail.php?ID=8780,French,,8780,,1819
Roman Ribera,Cirera,1935,http://www.the-athenaeum.org/people/detail.php?ID=2448,Spanish,,2448,,1848
Leon Joseph,Voirin,1887,http://www.the-athenaeum.org/people/detail.php?ID=2445,French,,2445,,1833
Guillaume,Voiriot,1799,http://www.the-athenaeum.org/people/detail.php?ID=7495,French,Rococo,7495,,1713
Jean-Victor,Schnetz,1870,http://www.the-athenaeum.org/people/detail.php?ID=6720,French,,6720,,1787
Moritz von,Schwind,1871,http://www.the-athenaeum.org/people/detail.php?ID=6726,Austrian,Romantic,6726,,1804
Kate,Wylie,1941,http://www.the-athenaeum.org/people/detail.php?ID=11353,Scottish,,11353,,1877
Rudolf,André,1920,http://www.the-athenaeum.org/people/detail.php?ID=6225,German,,6225,,1873
William,Marple,1910,http://www.the-athenaeum.org/people/detail.php?ID=1303,American,,1303,,1827
Antoine,Le nain,1648,http://www.the-athenaeum.org/people/detail.php?ID=7484,French,Baroque,7484,,1588
Roman,Kochanowski,1945,http://www.the-athenaeum.org/people/detail.php?ID=6224,Polish,,6224,,1856
Clinton,Loveridge,1915,http://www.the-athenaeum.org/people/detail.php?ID=674,American,,674,,1824
Charles Lewis,Fussell,1909,http://www.the-athenaeum.org/people/detail.php?ID=1298,American,,1298,,1840
Fanny,Churberg,1892,http://www.the-athenaeum.org/people/detail.php?ID=8717,Finnish,,8717,,1845
Pietro del,Donzello,1509,http://www.the-athenaeum.org/people/detail.php?ID=9170,Italian,,9170,,1452
John,Ehninger,1889,http://www.the-athenaeum.org/people/detail.php?ID=4588,American,,4588,,1827
George D.,Brewerton,1901,http://www.the-athenaeum.org/people/detail.php?ID=1295,American,,1295,,1827
Herbert Thomas,Dicksee,1942,http://www.the-athenaeum.org/people/detail.php?ID=8932,English,,8932,,1862
Armand,Point,1932,http://www.the-athenaeum.org/people/detail.php?ID=2406,French,,2406,,1860
Charles,Furneaux,1913,http://www.the-athenaeum.org/people/detail.php?ID=3967,American,,3967,,1835
Niccolò,Giolfino the younger,1555,http://www.the-athenaeum.org/people/detail.php?ID=9406,Italian,Renaissance,9406,,1476
Philip,Van kouwenbergh,1729,http://www.the-athenaeum.org/people/detail.php?ID=5934,Dutch,Dutch Golden Age,5934,,1671
Thomas Jefferson,Wright,1846,http://www.the-athenaeum.org/people/detail.php?ID=3868,American,,3868,,1798
Kennett Beacham,Martin,1859,http://www.the-athenaeum.org/people/detail.php?ID=10651,English,,10651,,1788
Albert,Weisgerber,1915,http://www.the-athenaeum.org/people/detail.php?ID=7455,German,Impressionist,7455,"
External links:",1878
Pauline,Dohn,1934,http://www.the-athenaeum.org/people/detail.php?ID=4133,American,,4133,,1866
Georg Nicolaj,Achen,1912,http://www.the-athenaeum.org/people/detail.php?ID=4283,Danish,,4283,,1860
"JR., John Frederick",Herring,1907,http://www.the-athenaeum.org/people/detail.php?ID=9695,English,,9695,,1815
Yrjö,Ollila,1932,http://www.the-athenaeum.org/people/detail.php?ID=8853,Finnish,,8853,,1887
Joseph Arthur Palliser,Severn,1931,http://www.the-athenaeum.org/people/detail.php?ID=10121,United Kingdom,,10121,,1842
Gad Frederick,Clementz,1933,http://www.the-athenaeum.org/people/detail.php?ID=2350,Danish,,2350,,1867
Franciszek,Kostrzewski,1911,http://www.the-athenaeum.org/people/detail.php?ID=7858,Polish,,7858,,1826
William P.,Babcock,1899,http://www.the-athenaeum.org/people/detail.php?ID=1264,American,,1264,,1826
Louis Agassiz,Fuertes,1927,http://www.the-athenaeum.org/people/detail.php?ID=1270,American,,1270,,1874
Prosper-Georges-Antoine,Marilhat,1847,http://www.the-athenaeum.org/people/detail.php?ID=7943,French,,7943,,1811
Jan,Chełmiński,1925,http://www.the-athenaeum.org/people/detail.php?ID=5172,Polish,,5172,,1851
Henri,Gascar,1701,http://www.the-athenaeum.org/people/detail.php?ID=7429,French,Baroque,7429,,1635
Bartholomeus Johannes,Van hove,1880,http://www.the-athenaeum.org/people/detail.php?ID=2337,Dutch,,2337,,1798
Samuel,Walters,1882,http://www.the-athenaeum.org/people/detail.php?ID=2343,English,,2343,,1811
Goddard,Dunning,1678,http://www.the-athenaeum.org/people/detail.php?ID=8774,United Kingdom,,8774,,1614
Jan Hillebrand,Wijsmuller,1925,http://www.the-athenaeum.org/people/detail.php?ID=2334,Dutch,,2334,,1855
Fritz,Schider,1907,http://www.the-athenaeum.org/people/detail.php?ID=7427,Austrian,,7427,,1846
Mathieu,Le nain,1677,http://www.the-athenaeum.org/people/detail.php?ID=10362,French,Baroque,10362,,1607
Hans,Temple,1931,http://www.the-athenaeum.org/people/detail.php?ID=2329,Austrian,,2329,,1857
Jean,Decourt,1585,http://www.the-athenaeum.org/people/detail.php?ID=7428,French,Renaissance,7428,,1530
Ferdinand Hart,Nibbrig,1915,http://www.the-athenaeum.org/people/detail.php?ID=2332,Dutch,,2332,,1866
Antonin,Prochazka,1945,http://www.the-athenaeum.org/people/detail.php?ID=6691,Czech,,6691,,1882
Frederick Warren,Freer,1908,http://www.the-athenaeum.org/people/detail.php?ID=1256,American,,1256,,1849
Andre,Favory,1937,http://www.the-athenaeum.org/people/detail.php?ID=5610,French,,5610,,1889
Johann,Sperl,1914,http://www.the-athenaeum.org/people/detail.php?ID=7423,German,,7423,,1840
Sheldon,Peck,1868,http://www.the-athenaeum.org/people/detail.php?ID=1252,American,,1252,,1797
Eugene,Deshayes,1890,http://www.the-athenaeum.org/people/detail.php?ID=8678,French,,8678,,1828
Pieter,Van boucle,1673,http://www.the-athenaeum.org/people/detail.php?ID=7413,Belgian,Baroque,7413,,1610
Joseph-Nicolas,Robert-fleury,1890,http://www.the-athenaeum.org/people/detail.php?ID=6667,French,,6667,,1797
Nicolo,Cecconi,1902,http://www.the-athenaeum.org/people/detail.php?ID=10744,Italian,,10744,,1835
Etienne,Dumonstier,1603,http://www.the-athenaeum.org/people/detail.php?ID=7414,French,,7414,,1540
Stephen Poyntz,Denning,1864,http://www.the-athenaeum.org/people/detail.php?ID=8675,English,,8675,,1795
Desire,Delaplace-gerardin,1890,http://www.the-athenaeum.org/people/detail.php?ID=8671,United Kingdom,,8671,,1817
Boris Vladimirovic,De heroys,1942,http://www.the-athenaeum.org/people/detail.php?ID=8660,,,8660,,1876
Ludek,Marold,1898,http://www.the-athenaeum.org/people/detail.php?ID=6671,Czech,,6671,,1865
William Alfred,Delamotte,1863,http://www.the-athenaeum.org/people/detail.php?ID=8670,United Kingdom,,8670,,1775
Ferdinand von,Piloty,1895,http://www.the-athenaeum.org/people/detail.php?ID=6659,German,Academist,6659,,1828
Jaroslav,Špillar,1917,http://www.the-athenaeum.org/people/detail.php?ID=9086,Czech,,9086,,1869
Carl Theodor von,Piloty,1886,http://www.the-athenaeum.org/people/detail.php?ID=6657,German,,6657,,1826
Ramon,Pichot y girones,1925,http://www.the-athenaeum.org/people/detail.php?ID=10323,Spanish,,10323,,1871
Vojtech,Hynais,1925,http://www.the-athenaeum.org/people/detail.php?ID=6674,Czech,Art Nouveau,6674,,1854
Matthias,Gerung,1570,http://www.the-athenaeum.org/people/detail.php?ID=7394,German,,7394,,1500
Alfred,D'orsay,1852,http://www.the-athenaeum.org/people/detail.php?ID=8613,French,,8613,,1801
Max,Brückner,1919,http://www.the-athenaeum.org/people/detail.php?ID=7378,German,,7378,,1836
Jan,Roos,1638,http://www.the-athenaeum.org/people/detail.php?ID=10322,Belgian,,10322,,1591
Thomas,Currie-bell,1946,http://www.the-athenaeum.org/people/detail.php?ID=8608,United Kingdom,,8608,,1873
Mary Henrietta Dering,Curtois,1929,http://www.the-athenaeum.org/people/detail.php?ID=8610,English,,8610,,1854
Frederick Gordon,Crosby,1943,http://www.the-athenaeum.org/people/detail.php?ID=8588,English,,8588,,1885
American School 19th Century,Unknown,1900,http://www.the-athenaeum.org/people/detail.php?ID=10377,American,,10377,,1800
William Skeoch,Cumming,1929,http://www.the-athenaeum.org/people/detail.php?ID=8601,Scottish,,8601,,1864
Pierre-Jacques,Pelletier,1931,http://www.the-athenaeum.org/people/detail.php?ID=9758,French,,9758,,1869
Francis Edward,Crisp,1915,http://www.the-athenaeum.org/people/detail.php?ID=8584,United Kingdom,,8584,,1880
Jan van,Dornicke,1527,http://www.the-athenaeum.org/people/detail.php?ID=9573,Belgian,,9573,,1470
Giuseppe,Artioli,1800,http://www.the-athenaeum.org/people/detail.php?ID=6647,Italian,,6647,,1739
Martin,Cregan,1870,http://www.the-athenaeum.org/people/detail.php?ID=8581,Irish,,8581,,1788
George J,Stengel,1937,http://www.the-athenaeum.org/people/detail.php?ID=9642,American,,9642,,1866
Pierre,Vaulthier,1916,http://www.the-athenaeum.org/people/detail.php?ID=9761,French,,9761,,1845
Walter,Cranke the elder,1780,http://www.the-athenaeum.org/people/detail.php?ID=8571,United Kingdom,,8571,,1707
Dirck,De bray,1694,http://www.the-athenaeum.org/people/detail.php?ID=9424,Dutch,,9424,,1635
Jeremias,Van winghe,1645,http://www.the-athenaeum.org/people/detail.php?ID=6637,Belgian,,6637,,1578
Gillis,Rombouts,1672,http://www.the-athenaeum.org/people/detail.php?ID=7340,Dutch,Dutch Golden Age,7340,,1630
Pieter,Leermans,1706,http://www.the-athenaeum.org/people/detail.php?ID=11084,Dutch,,11084,,1655
William,Corden the younger,1900,http://www.the-athenaeum.org/people/detail.php?ID=8540,English,,8540,,1819
Fernand Just,Quignon,1941,http://www.the-athenaeum.org/people/detail.php?ID=9809,French,,9809,,1854
Alfred Payne,Garnett,1909,http://www.the-athenaeum.org/people/detail.php?ID=9026,United Kingdom,,9026,,1876
Alfred Heaton,Cooper,1929,http://www.the-athenaeum.org/people/detail.php?ID=8517,English,,8517,,1963
Thomas Colman,Dibdin,1893,http://www.the-athenaeum.org/people/detail.php?ID=8688,English,,8688,,1810
Edmund,Garvey,1813,http://www.the-athenaeum.org/people/detail.php?ID=9036,Irish,,9036,,1740
John,Cooke,1932,http://www.the-athenaeum.org/people/detail.php?ID=8515,United Kingdom,,8515,,1866
George W.,King,1922,http://www.the-athenaeum.org/people/detail.php?ID=11303,American,,11303,,1836
Károly,Markó,1860,http://www.the-athenaeum.org/people/detail.php?ID=6614,Hungarian,,6614,,1793
Sándor,Liezen-mayer,1898,http://www.the-athenaeum.org/people/detail.php?ID=6616,Hungarian,,6616,,1839
Jan,Styka,1925,http://www.the-athenaeum.org/people/detail.php?ID=10111,Polish,,10111,,1858
Hugh,Barron,1791,http://www.the-athenaeum.org/people/detail.php?ID=8460,English,,8460,,1747
Ivan,Ksenofontov,1875,http://www.the-athenaeum.org/people/detail.php?ID=8463,Russian,,8463,,1817
Ethel,Cole,1934,http://www.the-athenaeum.org/people/detail.php?ID=8454,United Kingdom,,8454,,1892
Robert Jackson,Emerson,1944,http://www.the-athenaeum.org/people/detail.php?ID=8830,United Kingdom,,8830,,1878
Simon,Dubois,1708,http://www.the-athenaeum.org/people/detail.php?ID=8756,,,8756,,1632
Paul Alfred,Colin,1916,http://www.the-athenaeum.org/people/detail.php?ID=8474,French,,8474,,1838
Vera,Colborne,1852,http://www.the-athenaeum.org/people/detail.php?ID=8453,United Kingdom,,8453,,1877
Soma,Orlai petrich,1880,http://www.the-athenaeum.org/people/detail.php?ID=6644,Hungarian,,6644,,1822
Aloysius C.,O'kelly,1926,http://www.the-athenaeum.org/people/detail.php?ID=9000,Irish,,9000,,1853
Eduard,Peithner von lichtenfels,1913,http://www.the-athenaeum.org/people/detail.php?ID=7303,Austrian,,7303,,1833
Gerolamo,Cairato,1943,http://www.the-athenaeum.org/people/detail.php?ID=10032,Austrian,,10032,,1860
Adrianus Johannes,Ehnle,1863,http://www.the-athenaeum.org/people/detail.php?ID=8857,Dutch,,8857,,1819
Michael,Ostendorfer,1559,http://www.the-athenaeum.org/people/detail.php?ID=6608,German,,6608,,1494
Albert Grantley,Reinhart,1926,http://www.the-athenaeum.org/people/detail.php?ID=7273,American,,7273,,1854
Luke,Clennell,1840,http://www.the-athenaeum.org/people/detail.php?ID=8419,English,,8419,,1781
Robert,Cleveley,1809,http://www.the-athenaeum.org/people/detail.php?ID=8420,English,,8420,,1747
Mary,Moser,1819,http://www.the-athenaeum.org/people/detail.php?ID=7267,United Kingdom,,7267,,1744
James Henry,Cleet,1913,http://www.the-athenaeum.org/people/detail.php?ID=8417,United Kingdom,,8417,,1840
Andrew,Douglas,1935,http://www.the-athenaeum.org/people/detail.php?ID=8727,Scottish,,8727,,1871
Maurice Francois,Courant,1926,http://www.the-athenaeum.org/people/detail.php?ID=11072,French,,11072,,1847
John,Cleverly the younger,1786,http://www.the-athenaeum.org/people/detail.php?ID=8421,English,,8421,,1747
Elizabeth,Clasper,1929,http://www.the-athenaeum.org/people/detail.php?ID=8409,English,,8409,,1850
William H.,Clarkson,1944,http://www.the-athenaeum.org/people/detail.php?ID=8408,United Kingdom,,8408,,1872
Joseph Benwell,Clark,1938,http://www.the-athenaeum.org/people/detail.php?ID=8401,United Kingdom,,8401,,1857
Christopher,Clark,1942,http://www.the-athenaeum.org/people/detail.php?ID=8399,Tanzanian,,8399,,1875
Giovanni,Do,1656,http://www.the-athenaeum.org/people/detail.php?ID=10314,Spanish,,10314,,1604
Joseph Henry,Hatfield,1928,http://www.the-athenaeum.org/people/detail.php?ID=11073,Canadian,,11073,,1863
Charles,Hunt,1900,http://www.the-athenaeum.org/people/detail.php?ID=10401,United Kingdom,,10401,,1829
Ethel,Wright,1939,http://www.the-athenaeum.org/people/detail.php?ID=10877,English,,10877,,1866
Niels H.,Christiansen,1922,http://www.the-athenaeum.org/people/detail.php?ID=8384,Danish,,8384,,1850
Ferdinand,Leeke,1923,http://www.the-athenaeum.org/people/detail.php?ID=6598,German,,6598,,1859
George William,Mote,1909,http://www.the-athenaeum.org/people/detail.php?ID=9563,English,,9563,,1832
John,Gifford,1846,http://www.the-athenaeum.org/people/detail.php?ID=8929,United Kingdom,,8929,,1790
Joseph Frans,Nollekens,1748,http://www.the-athenaeum.org/people/detail.php?ID=9093,Belgian,,9093,,1706
Pieter Cornelisz.,Verbeeck,1654,http://www.the-athenaeum.org/people/detail.php?ID=7249,Dutch,Dutch Golden Age,7249,,1610
Rossello di Jacopo,Franchi,1456,http://www.the-athenaeum.org/people/detail.php?ID=9174,Italian,,9174,,1376
Master of the,Judgement of paris,1460,http://www.the-athenaeum.org/people/detail.php?ID=8358,Italian,,8358,,1400
Adriaen,Van cronenburg,1604,http://www.the-athenaeum.org/people/detail.php?ID=8354,Dutch,Renaissance,8354,,1525
Francis Morton,Johnson,1931,http://www.the-athenaeum.org/people/detail.php?ID=10395,American,,10395,,1878
Jacques,Stella,1657,http://www.the-athenaeum.org/people/detail.php?ID=9421,French,,9421,,1596
Otto Karl,Kirberg,1926,http://www.the-athenaeum.org/people/detail.php?ID=11041,German,,11041,,1850
Niccolò di,Buonaccorso,1388,http://www.the-athenaeum.org/people/detail.php?ID=7232,Italian,,7232,,1349
Andrew,Donaldson,1846,http://www.the-athenaeum.org/people/detail.php?ID=8721,Irish,,8721,,1790
Auguste,Couder,1873,http://www.the-athenaeum.org/people/detail.php?ID=6550,French,,6550,,1790
Mikhail,Korochansky,1925,http://www.the-athenaeum.org/people/detail.php?ID=8336,Russian,,8336,,1866
Alexei,Hansen,1937,http://www.the-athenaeum.org/people/detail.php?ID=8327,Russian,,8327,,1876
Thomas Frederick,Goodall,1944,http://www.the-athenaeum.org/people/detail.php?ID=9202,English,,9202,,1856
Jacques de,Lajoue ii,1761,http://www.the-athenaeum.org/people/detail.php?ID=11518,French,,11518,,1687
Thomas Robert,Guest,1818,http://www.the-athenaeum.org/people/detail.php?ID=9605,English,,9605,,1754
Justus,Hill,1925,http://www.the-athenaeum.org/people/detail.php?ID=10847,United Kingdom,,10847,,1848
Peter,Hansen,1928,http://www.the-athenaeum.org/people/detail.php?ID=9709,Danish,,9709,,1868
Yevgeny,Plushar,1880,http://www.the-athenaeum.org/people/detail.php?ID=10304,Russian,,10304,,1809
Gustav Max,Stevens,1946,http://www.the-athenaeum.org/people/detail.php?ID=8315,Belgian,,8315,,1871
Vincente,Carducho,1638,http://www.the-athenaeum.org/people/detail.php?ID=8271,Italian,,8271,,1576
Max,Weyl,1914,http://www.the-athenaeum.org/people/detail.php?ID=6520,American,,6520,,1837
Yevgeny,Dukker,1916,http://www.the-athenaeum.org/people/detail.php?ID=8285,Russian,,8285,,1841
Sipke,Kool,1902,http://www.the-athenaeum.org/people/detail.php?ID=11061,Dutch,,11061,,1836
Adrianus Phillipus de la,Rivière,1941,http://www.the-athenaeum.org/people/detail.php?ID=8268,Dutch,,8268,,1857
John Henry,Witt,1901,http://www.the-athenaeum.org/people/detail.php?ID=11260,American,,11260,,1840
Anna,Munthe-norstedt,1936,http://www.the-athenaeum.org/people/detail.php?ID=10309,Swedish,,10309,,1854
Tom,Campbell,1943,http://www.the-athenaeum.org/people/detail.php?ID=8258,Scottish,,8258,,1865
Marcus,Larson,1864,http://www.the-athenaeum.org/people/detail.php?ID=6464,Swedish,,6464,,1825
Eduard,Steinbruck,1882,http://www.the-athenaeum.org/people/detail.php?ID=8245,German,,8245,,1802
Harry,Frier,1921,http://www.the-athenaeum.org/people/detail.php?ID=8989,United Kingdom,,8989,,1849
Giovanni Antonio,Bazzi,1549,http://www.the-athenaeum.org/people/detail.php?ID=9240,Italian,,9240,,1477
Francois,De nome,1623,http://www.the-athenaeum.org/people/detail.php?ID=8242,French,Baroque,8242,,1588
Hubert,Salentin,1910,http://www.the-athenaeum.org/people/detail.php?ID=6527,German,,6527,,1822
Lily Delissa,Joseph,1940,http://www.the-athenaeum.org/people/detail.php?ID=9400,United Kingdom,,9400,,1863
Jacob,Esselens,1687,http://www.the-athenaeum.org/people/detail.php?ID=8839,Dutch,,8839,,1626
Károly,Brocky,1855,http://www.the-athenaeum.org/people/detail.php?ID=6516,Hungarian,,6516,,1807
Ida Pulis,Lathrop,1927,http://www.the-athenaeum.org/people/detail.php?ID=11277,American,,11277,,1859
Adam,Callander,1817,http://www.the-athenaeum.org/people/detail.php?ID=8220,United Kingdom,,8220,,1750
Carl Adolf,Henning,1900,http://www.the-athenaeum.org/people/detail.php?ID=8238,German,,8238,,1809
Sergei,Korovin,1908,http://www.the-athenaeum.org/people/detail.php?ID=9893,Russian,,9893,,1858
Antonin,Hudecek,1941,http://www.the-athenaeum.org/people/detail.php?ID=6679,Czech,,6679,,1872
Charles,Grignion ii,1804,http://www.the-athenaeum.org/people/detail.php?ID=9249,English,,9249,,1754
Marco,Calderini,1941,http://www.the-athenaeum.org/people/detail.php?ID=9460,Italian,,9460,,1850
Albert Friedrich,Schroder,1939,http://www.the-athenaeum.org/people/detail.php?ID=6371,German,,6371,,1854
Paolo,Porpora,1673,http://www.the-athenaeum.org/people/detail.php?ID=9066,Italian,,9066,,1617
Mia Arnesby,Brown,1931,http://www.the-athenaeum.org/people/detail.php?ID=8131,English,,8131,,1865
Federico,Fernandez y gimenez,1873,http://www.the-athenaeum.org/people/detail.php?ID=10837,Spanish,,10837,,1846
Marcellin,Desboutin,1902,http://www.the-athenaeum.org/people/detail.php?ID=7117,French,,7117,,1823
Malvin Gray,Johnson,1934,http://www.the-athenaeum.org/people/detail.php?ID=7118,American,,7118,,1896
Gustav,Köhler,1922,http://www.the-athenaeum.org/people/detail.php?ID=11043,German,,11043,,1859
Tom Clifton,Butterfield,1937,http://www.the-athenaeum.org/people/detail.php?ID=8209,United Kingdom,,8209,,1856
Piotr Petrovitsch,Veretschchagin,1886,http://www.the-athenaeum.org/people/detail.php?ID=2304,Russian,,2304,,1836
John Woodhouse,Audubon,1862,http://www.the-athenaeum.org/people/detail.php?ID=646,American,,646,,1812
Giovanni,Signorini,1864,http://www.the-athenaeum.org/people/detail.php?ID=7114,Italian,,7114,,1808
Ada Walter,Shulz,1928,http://www.the-athenaeum.org/people/detail.php?ID=1251,American,,1251,,1870
Alexander Joseph,Daiwaille,1888,http://www.the-athenaeum.org/people/detail.php?ID=2302,Dutch,,2302,,1818
